key,value
1,Mathematics
2,Physics
3,Chemistry
4,Biology
5,Computer Science
6,Engineering
7,History
8,Geography
9,Philosophy
10,Literature
11,Art
12,Music
13,Psychology
14,Sociology
15,Economics
16,Political Science
17,Law
18,Medicine
19,Nursing
20,Pharmacy
21,Business Administration
22,Marketing
23,Finance
24,Accounting
25,Design
26,Architecture
27,Sports Science
28,Cultural Studies
29,Linguistics
30,Theology
31,Anthropology
32,Environmental Science
33,Agriculture
34,Veterinary Science
35,Astrophysics
36,Oceanography
37,Data Science
38,Artificial Intelligence
39,Robotics
40,Blockchain Technology
